EVER_ASSAULT,FEMALE,RACE_BLACK,RACE_HISPANIC,RACE_MIXED,BIOMOMAGE,NUMSIBS,FAM_ONE_PARENT,FAM_BIO_STEP,FAM_OTHER,PAR_ED_HS,PAR_ED_SOME_COL,PAR_ED_COL,POVRATIO97,ASVAB_SCORE,EARLY_DESTROY,EARLY_STEAL_UNDER,EARLY_STEAL_OVER,EARLY_OTHER_PROP,EARLY_GANG,EARLY_GUN,EARLY_RUNAWAY,EARLY_SMOKING,EARLY_ALCOHOL,EARLY_MARIJUANA,EARLY_HARD_DRUGS,EVER_ARR_BY17
0,1,0,1,0,24.0,2,0,0,0,1.0,0.0,0.0,3.8499999046325684,89.74099731445312,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,1,0,25.0,1,0,0,0,0.0,1.0,0.0,2.8299999237060547,10.255999565124512,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,1,0,28.0,1,0,0,0,0.0,1.0,0.0,2.8299999237060547,17.93199920654297,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
0,1,0,0,0,35.0,2,0,0,0,0.0,0.0,1.0,3.359999895095825,95.21800231933594,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0,1,0,0,0,21.0,1,1,0,0,1.0,0.0,0.0,2.75,4.216000080108643,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1,0,0,0,23.0,2,0,0,0,0.0,0.0,1.0,16.270000457763672,96.3280029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
0,0,0,0,0,27.0,2,0,0,0,0.0,0.0,1.0,16.270000457763672,98.45099639892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
0,1,0,0,0,27.0,2,0,0,0,0.0,0.0,1.0,6.840000152587891,34.80500030517578,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0
0,1,0,0,0,25.0,1,1,0,0,0.0,1.0,0.0,2.2200000286102295,55.736000061035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,0,0,25.0,2,0,0,0,1.0,0.0,0.0,2.4000000953674316,45.24300003051758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
0,1,0,0,0,36.0,1,0,1,0,0.0,0.0,1.0,7.489999771118164,67.24099731445312,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
0,0,0,0,0,31.0,2,0,0,0,0.0,0.0,1.0,8.039999961853027,73.24299621582031,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0,1,0,0,0,31.0,0,0,0,0,0.0,0.0,1.0,16.270000457763672,83.12300109863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1,0,0,0,27.0,3,0,0,0,0.0,0.0,0.0,1.0199999809265137,69.40299987792969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,30.0,3,0,0,0,0.0,0.0,0.0,0.8299999833106995,23.764999389648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,1,0,15.0,2,1,0,0,1.0,0.0,0.0,0.0,25.048999786376953,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0
0,1,0,1,0,29.0,3,0,0,0,0.0,0.0,0.0,1.7400000095367432,59.1870002746582,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,1,0,31.0,3,0,0,0,0.0,0.0,0.0,1.7400000095367432,51.106998443603516,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
0,1,0,1,0,19.0,1,1,0,0,0.0,0.0,0.0,0.4699999988079071,7.914999961853027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,0,0,0,22.0,0,1,0,0,1.0,0.0,0.0,0.0,20.75,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
1,0,0,1,0,20.0,2,0,0,0,0.0,0.0,0.0,2.240000009536743,14.008999824523926,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
0,1,0,0,0,30.0,1,0,0,0,0.0,1.0,0.0,5.059999942779541,61.50400161743164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,1,0,0,1,25.0,3,0,0,0,1.0,0.0,0.0,1.909999966621399,88.26000213623047,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0
0,0,0,0,0,21.0,7,0,0,0,0.0,1.0,0.0,2.2200000286102295,82.82099914550781,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,0,23.0,7,0,0,0,0.0,1.0,0.0,2.2200000286102295,94.12899780273438,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,0,33.0,1,0,0,0,0.0,1.0,0.0,9.430000305175781,16.816999435424805,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,0,0,0,28.0,0,1,0,0,0.0,0.0,1.0,16.270000457763672,28.48900032043457,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,0.0
1,1,0,1,0,31.0,2,0,0,0,0.0,0.0,1.0,3.740000009536743,83.08699798583984,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0
0,1,0,0,0,26.0,1,0,0,0,0.0,0.0,1.0,6.159999847412109,96.53099822998047,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
1,0,0,1,0,25.0,3,0,0,0,0.0,0.0,0.0,1.659999966621399,15.241999626159668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,20.0,1,0,0,0,1.0,0.0,0.0,0.03999999910593033,41.51599884033203,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
0,1,0,1,0,26.0,2,1,0,0,0.0,1.0,0.0,0.0,24.638999938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,1,0,19.0,2,0,1,0,0.0,0.0,1.0,1.5499999523162842,20.972999572753906,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0,0,0,0,30.0,1,0,1,0,0.0,0.0,1.0,16.270000457763672,34.63999938964844,2.0,2.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0
